Student ID,Gender,Education,Infrastructure,PlacementSupport,FacultySupport,Events,Fees,Sport Facility,DegreeYears,Churn
8402-OOOHJ,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
9445-ZUEQE,Male,Poor,Good,Poor,Good,Good,52885,Poor,4,No
1091-SOZGA,Female,Poor,Poor,Good,Poor,Good,13000,Good,4,No
2928-HLDBA,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
0404-SWRVG,Male,Poor,Poor,Poor,Poor,Good,52885,Poor,4,Yes
6497-TILVL,Female,Good,Poor,Poor,Poor,Poor,52885,Poor,4,No
7219-TLZHO,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
4622-YNKIJ,Male,Good,Poor,Poor,Good,Poor,52885,Poor,4,No
4412-YLTKF,Female,Poor,Poor,Good,Poor,Good,13000,Poor,4,Yes
6734-PSBAW,Male,Good,Good,Good,Good,Good,4000,Good,4,No
3930-ZGWVE,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
2639-UGMAZ,Male,Good,Good,Poor,Poor,Poor,52885,Good,4,No
2876-GZYZC,Female,Poor,Poor,Poor,Poor,Good,52885,Good,4,No
6207-WIOLX,Female,Good,Good,Good,Poor,Poor,13000,Good,4,Yes
8587-XYZSF,Male,Poor,Poor,Poor,Good,Poor,52885,Poor,4,No
3091-FYHKI,Male,Poor,Poor,Poor,Poor,Poor,52885,Good,4,Yes
2372-HWUHI,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
7799-LGRDP,Female,Good,Good,Good,Good,Good,4000,Good,4,No
7850-VWJUU,Female,Good,Poor,Poor,Poor,Poor,52885,Poor,4,No
3774-VBNXY,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
6217-KDYWC,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
0390-DCFDQ,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
3146-MSEGF,Female,Good,Good,Good,Good,Good,13000,Good,4,No
4080-OGPJL,Female,Good,Poor,Poor,Good,Good,52885,Good,4,Yes
1095-WGNGG,Female,Poor,Good,Poor,Poor,Good,52885,Good,4,No
2636-SJDOU,Male,Good,Good,Poor,Poor,Good,52885,Poor,4,No
1131-QQZEB,Male,Good,Good,Good,Good,Good,4000,Good,4,No
5716-EZXZN,Female,Good,Good,Poor,Good,Good,52885,Poor,4,No
6837-BJYDQ,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
2135-RXIHG,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
6440-DKQGE,Male,Poor,Good,Good,Poor,Poor,13000,Poor,4,No
3466-BYAVD,Male,Poor,Good,Good,Good,Poor,13000,Good,4,No
3780-YVMFA,Female,Poor,Poor,Poor,Good,Poor,52885,Good,4,No
3874-EQOEP,Male,Poor,Poor,Poor,Poor,Good,52885,Good,4,Yes
1679-JRFBR,Female,Good,Good,Good,Poor,Good,13000,Good,4,No
9073-ZZIAY,Male,Good,Good,Good,Good,Poor,13000,Good,4,No
3077-RSNTJ,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
6551-GNYDG,Female,Poor,Poor,Poor,Poor,Poor,52885,Good,4,No
9167-APMXZ,Female,Poor,Poor,Poor,Poor,Good,52885,Poor,4,No
2749-CTKAJ,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
6371-NZYEG,Male,Good,Poor,Good,Poor,Poor,13000,Poor,4,No
7554-NEWDD,Male,Good,Good,Good,Good,Good,4000,Good,4,No
8992-VONJD,Female,Good,Good,Poor,Poor,Poor,52885,Poor,4,No
0867-MKZVY,Female,Good,Poor,Poor,Poor,Good,52885,Poor,4,Yes
4482-EWFMI,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
4648-YPBTM,Male,Poor,Good,Good,Good,Good,13000,Good,4,No
2907-ILJBN,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
6345-FZOQH,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
3376-BMGFE,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
5997-OPVFA,Male,Good,Good,Good,Good,Good,13000,Good,4,No
3445-HXXGF,Male,Poor,Good,Good,Poor,Poor,13000,Good,4,Yes
1159-WFSGR,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
7654-YWJUF,Male,Good,Poor,Good,Good,Poor,13000,Poor,4,No
1875-QIVME,Female,Poor,Poor,Good,Good,Good,13000,Good,4,Yes
6727-IOTLZ,Male,Poor,Good,Good,Good,Poor,13000,Good,4,No
0691-JVSYA,Female,Poor,Poor,Good,Poor,Poor,13000,Good,4,Yes
5918-VUKWP,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
1744-JHKYS,Female,Good,Good,Good,Good,Good,4000,Good,4,No
2656-FMOKZ,Female,Poor,Poor,Poor,Poor,Good,52885,Poor,4,Yes
2070-FNEXE,Female,Good,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
5947-SGKCL,Female,Poor,Good,Good,Poor,Good,13000,Good,4,No
3712-PKXZA,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
6317-YPKDH,Female,Poor,Good,Poor,Poor,Poor,52885,Poor,4,Yes
6582-OIVSP,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
9367-WXLCH,Male,Poor,Poor,Poor,Poor,Good,52885,Good,4,Yes
5524-KHNJP,Male,Good,Poor,Good,Poor,Poor,13000,Good,4,No
1918-ZBFQJ,Female,Poor,Good,Good,Poor,Poor,13000,Poor,4,Yes
1024-GUALD,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
4827-USJHP,Male,Poor,Good,Poor,Poor,Poor,52885,Poor,4,No
8167-GJLRN,Male,Poor,Poor,Poor,Good,Poor,52885,Poor,4,No
0956-SYCWG,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
8017-UVSZU,Female,Poor,Good,Poor,Poor,Good,52885,Poor,4,No
7100-FQPRV,Male,Good,Poor,Poor,Good,Good,52885,Good,4,No
2472-OVKUP,Male,Poor,Good,Good,Poor,Poor,13000,Good,4,Yes
2984-RGEYA,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
9680-NIAUV,Female,Good,Good,Good,Poor,Good,13000,Good,4,No
2146-EGVDT,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
2604-IJPDU,Female,Good,Good,Poor,Good,Poor,52885,Poor,4,No
9178-JHUVJ,Male,Good,Good,Good,Good,Good,4000,Good,4,No
6168-YBYNP,Male,Poor,Good,Good,Good,Good,13000,Good,4,No
7255-SSFBC,Male,Poor,Good,Good,Good,Good,13000,Good,4,No
3645-DEYGF,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
9323-HGFWY,Female,Good,Poor,Poor,Good,Poor,52885,Good,4,No
8544-GOQSH,Female,Poor,Good,Poor,Good,Poor,52885,Poor,4,No
3363-DTIVD,Male,Good,Poor,Good,Poor,Good,13000,Good,4,No
7018-WBJNK,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
9142-KZXOP,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
7674-YTAFD,Female,Poor,Good,Poor,Good,Poor,52885,Poor,4,No
6348-SNFUS,Male,Good,Good,Good,Good,Poor,13000,Good,4,No
1285-OKIPP,Male,Poor,Poor,Poor,Poor,Poor,52885,Good,4,Yes
7825-ECJRF,Female,Good,Poor,Good,Good,Poor,13000,Good,4,Yes
1347-KTTTA,Male,Poor,Good,Good,Good,Poor,13000,Good,4,No
7841-TZDMQ,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
4195-NZGTA,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
7157-SMCFK,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
4709-LKHYG,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
2504-DSHIH,Male,Poor,Poor,Poor,Poor,Good,52885,Good,4,No
0699-NDKJM,Female,Good,Good,Good,Poor,Poor,13000,Good,4,No
9286-BHDQG,Male,Good,Good,Good,Good,Poor,13000,Poor,4,No
0230-WEQUW,Male,Good,Good,Good,Good,Poor,13000,Poor,4,No
2040-LDIWQ,Male,Poor,Good,Good,Good,Good,13000,Good,4,No
6496-JDSSB,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
9408-SSNVZ,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
4443-EMBNA,Female,Good,Good,Good,Good,Good,4000,Good,4,No
6469-MRVET,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
0742-MOABM,Male,Poor,Poor,Poor,Good,Poor,52885,Poor,4,Yes
5961-VUSRV,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
6778-JFCMK,Male,Good,Poor,Poor,Poor,Poor,52885,Good,4,No
6341-JVQGF,Female,Good,Poor,Good,Good,Poor,13000,Good,4,No
2232-DMLXU,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
4811-JBUVU,Male,Poor,Poor,Poor,Good,Good,52885,Good,4,No
0945-TSONX,Female,Good,Good,Poor,Good,Good,52885,Good,4,No
2651-ZCBXV,Male,Good,Good,Poor,Good,Good,52885,Good,4,No
3316-UWXUY,Male,Good,Good,Poor,Good,Poor,52885,Good,4,No
8937-RDTHP,Male,Good,Poor,Poor,Poor,Poor,52885,Good,4,Yes
7083-MIOPC,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
1984-GPTEH,Female,Good,Good,Good,Good,Good,4000,Good,4,No
1251-KRREG,Male,Poor,Good,Poor,Poor,Good,52885,Poor,4,Yes
0621-JFHOL,Female,Poor,Poor,Poor,Good,Poor,52885,Poor,4,No
9903-LYSAB,Male,Poor,Poor,Poor,Poor,Good,52885,Poor,4,No
0094-OIFMO,Female,Poor,Good,Poor,Poor,Poor,52885,Good,4,Yes
9227-UAQFT,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
7301-ABVAD,Female,Poor,Good,Good,Good,Good,13000,Good,4,No
6614-FHDBO,Male,Poor,Good,Good,Good,Good,13000,Good,4,No
7576-ASEJU,Female,Good,Poor,Poor,Good,Poor,52885,Good,4,No
9058-HRZSV,Female,Good,Good,Good,Poor,Poor,13000,Good,4,No
4522-AKYLR,Female,Poor,Good,Good,Poor,Poor,13000,Poor,4,No
0221-WMXNQ,Male,Good,Poor,Poor,Poor,Poor,52885,Poor,4,No
0303-UNCIP,Male,Poor,Poor,Good,Poor,Good,13000,Good,4,No
9947-OTFQU,Male,Poor,Good,Poor,Poor,Poor,52885,Poor,4,Yes
0322-YINQP,Male,Good,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
0959-WHOKV,Male,Good,Good,Good,Poor,Good,13000,Good,4,No
4075-JFPGR,Female,Good,Good,Good,Poor,Poor,13000,Poor,4,No
4629-NRXKX,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
9514-JDSKI,Male,Poor,Good,Poor,Poor,Poor,52885,Poor,4,Yes
3282-ZISZV,Male,Poor,Good,Good,Good,Good,13000,Good,4,No
3675-YDUPJ,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
4111-BNXIF,Female,Poor,Good,Good,Good,Poor,13000,Good,4,No
7017-VFHAY,Female,Good,Good,Good,Good,Good,13000,Good,4,No
6655-LHBYW,Male,Good,Good,Good,Good,Good,13000,Good,4,No
4959-JOSRX,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
5046-NUHWD,Female,Good,Poor,Good,Poor,Poor,13000,Good,4,No
7273-TEFQD,Male,Poor,Poor,Good,Poor,Poor,13000,Good,4,Yes
3606-TWKGI,Male,Poor,Good,Good,Poor,Good,13000,Good,4,Yes
7529-ZDFXI,Male,Poor,Good,Poor,Poor,Good,52885,Good,4,No
7605-BDWDC,Female,Good,Good,Poor,Good,Poor,52885,Good,4,No
1950-KSVVJ,Female,Good,Good,Good,Good,Good,13000,Good,4,No
0123-CRBRT,Female,Good,Good,Good,Good,Good,13000,Good,4,No
6292-TOSSS,Male,Good,Good,Good,Good,Good,4000,Good,4,No
3197-ARFOY,Female,Good,Good,Poor,Good,Poor,52885,Good,4,No
6323-AYBRX,Male,Good,Good,Good,Good,Poor,4000,Good,4,Yes
7014-ZZXAW,Female,Good,Good,Good,Good,Good,4000,Good,4,No
4385-GZQXV,Female,Poor,Poor,Poor,Good,Poor,52885,Good,4,Yes
7633-MVPUY,Male,Good,Good,Poor,Good,Poor,52885,Poor,4,No
6366-ZGQGL,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
4716-HHKQH,Male,Poor,Good,Poor,Good,Good,52885,Good,4,No
5940-AHUHD,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
6432-TWQLB,Male,Poor,Good,Poor,Good,Good,52885,Poor,4,Yes
4484-GLZOU,Female,Poor,Good,Good,Poor,Good,13000,Good,4,Yes
3179-GBRWV,Male,Good,Good,Poor,Poor,Poor,52885,Good,4,No
8645-KWHJO,Male,Poor,Poor,Good,Good,Poor,13000,Good,4,No
4130-MZLCC,Female,Poor,Good,Poor,Poor,Poor,52885,Poor,4,No
0314-TKOSI,Female,Good,Good,Poor,Poor,Poor,52885,Poor,4,No
8229-MYEJZ,Female,Poor,Good,Poor,Poor,Poor,52885,Poor,4,No
2080-SRCDE,Female,Good,Good,Good,Good,Good,4000,Good,4,No
9577-WJVCQ,Female,Good,Poor,Poor,Poor,Good,52885,Poor,4,No
9512-UIBFX,Male,Poor,Poor,Good,Poor,Poor,13000,Good,4,Yes
6202-DYYFX,Female,Poor,Poor,Poor,Poor,Good,52885,Poor,4,No
3808-HFKDE,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
5583-SXDAG,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
3488-PGMQJ,Male,Poor,Good,Poor,Poor,Poor,52885,Poor,4,Yes
3580-REOAC,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
7534-BFESC,Male,Poor,Poor,Poor,Poor,Good,52885,Poor,4,Yes
3727-OWVYD,Male,Good,Good,Good,Poor,Poor,13000,Poor,4,No
2294-SALNE,Male,Poor,Good,Good,Good,Poor,13000,Poor,4,No
4847-TAJYI,Female,Poor,Poor,Poor,Poor,Poor,52885,Good,4,No
1563-IWQEX,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
8203-XJZRC,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
6556-DBKZF,Female,Poor,Poor,Good,Poor,Poor,13000,Poor,4,No
6851-WEFYX,Male,Poor,Poor,Good,Poor,Good,13000,Good,4,No
2985-JUUBZ,Male,Poor,Poor,Good,Poor,Good,13000,Good,4,No
6390-DSAZX,Female,Good,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
0895-LMRSF,Male,Poor,Poor,Poor,Poor,Poor,52885,Good,4,No
8098-LLAZX,Female,Poor,Poor,Poor,Poor,Good,52885,Good,4,Yes
8266-VBFQL,Male,Poor,Poor,Good,Good,Poor,13000,Good,4,No
8181-YHCMF,Female,Poor,Good,Good,Good,Poor,13000,Good,4,No
2240-HSJQD,Male,Poor,Good,Poor,Poor,Good,52885,Poor,4,No
1248-DYXUB,Male,Good,Good,Good,Good,Good,4000,Good,4,No
0265-EDXBD,Male,Poor,Poor,Poor,Poor,Good,52885,Poor,4,Yes
4115-BNPJY,Male,Poor,Poor,Good,Good,Poor,13000,Good,4,No
3167-SNQPL,Male,Poor,Good,Poor,Poor,Good,52885,Good,4,No
4091-TVOCN,Male,Good,Poor,Good,Poor,Good,13000,Good,4,No
1098-TDVUQ,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
7277-OZCGZ,Female,Good,Poor,Poor,Good,Poor,52885,Good,4,No
1557-EMYVT,Female,Good,Good,Good,Good,Good,13000,Good,4,No
2799-ARNLO,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
7563-BIUPC,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
5027-YOCXN,Male,Good,Good,Poor,Good,Good,52885,Good,4,No
3973-SKMLN,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
2321-OMBXY,Female,Good,Good,Poor,Good,Poor,52885,Good,4,Yes
2840-XANRC,Male,Poor,Poor,Good,Poor,Poor,13000,Good,4,Yes
6745-JEFZB,Male,Poor,Poor,Poor,Good,Good,52885,Poor,4,No
5020-ZSTTY,Female,Good,Good,Poor,Good,Good,52885,Good,4,Yes
9880-TDQAC,Female,Poor,Good,Good,Good,Poor,13000,Good,4,No
8705-WZCYL,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
7102-JJVTX,Female,Good,Poor,Poor,Poor,Poor,52885,Poor,4,No
8626-PTQGE,Male,Good,Good,Poor,Good,Poor,52885,Good,4,No
4983-CLMLV,Female,Poor,Good,Poor,Good,Good,52885,Good,4,No
5701-YVSVF,Female,Poor,Poor,Poor,Good,Poor,52885,Poor,4,No
5804-LEPIM,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
5697-GOMBF,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
2739-CACDQ,Female,Poor,Poor,Good,Poor,Good,13000,Poor,4,No
9385-EHGDO,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
9498-FIMXL,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
2379-GYFLQ,Male,Poor,Good,Good,Poor,Good,13000,Poor,4,No
0122-OAHPZ,Female,Poor,Poor,Poor,Poor,Good,52885,Poor,4,Yes
2868-SNELZ,Female,Poor,Poor,Good,Poor,Good,13000,Poor,4,Yes
4322-RCYMT,Male,Poor,Good,Good,Good,Good,13000,Good,4,Yes
6680-NENYN,Female,Poor,Good,Good,Poor,Good,13000,Good,4,Yes
2088-IEBAU,Female,Good,Good,Good,Good,Good,13000,Good,4,No
7982-VCELR,Female,Poor,Good,Poor,Poor,Poor,52885,Good,4,No
1343-EHPYB,Male,Poor,Good,Good,Poor,Good,13000,Good,4,Yes
6035-BXTTY,Female,Poor,Good,Poor,Good,Poor,52885,Poor,4,No
6885-PKOAM,Female,Good,Good,Good,Good,Good,13000,Good,4,No
