,Fees,DegreeYears,Churn,Gender_Female,Gender_Male,Education_Good,Education_Poor,Infrastructure_Good,Infrastructure_Poor,PlacementSupport_Good,PlacementSupport_Poor,FacultySupport_Good,FacultySupport_Poor,Events_Good,Events_Poor,Sport Facility_Good,Sport Facility_Poor
43,13000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
44,52885,4,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1
45,52885,4,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
46,52885,4,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
47,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
48,52885,4,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
49,13000,4,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
50,52885,4,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
51,52885,4,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
52,52885,4,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1
53,52885,4,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1
54,13000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
55,52885,4,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
56,52885,4,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
57,13000,4,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
58,4000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
59,13000,4,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
60,13000,4,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
61,52885,4,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
62,13000,4,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1
63,13000,4,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1
64,52885,4,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0
65,52885,4,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
66,52885,4,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
67,13000,4,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
68,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
69,13000,4,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
70,52885,4,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1
71,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
72,13000,4,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
73,4000,4,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
74,52885,4,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0
75,13000,4,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
76,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
77,52885,4,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
78,52885,4,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
79,4000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
80,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
81,52885,4,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
82,13000,4,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
83,13000,4,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
84,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
85,52885,4,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
86,52885,4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
87,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
88,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
89,52885,4,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
90,13000,4,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
91,52885,4,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1
92,13000,4,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
93,13000,4,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
94,13000,4,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
95,52885,4,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
96,52885,4,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1
97,4000,4,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
98,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
99,13000,4,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
100,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
101,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
102,13000,4,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1
103,13000,4,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
104,13000,4,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
105,52885,4,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
106,52885,4,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
107,52885,4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
108,52885,4,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
109,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
110,52885,4,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1
111,13000,4,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
112,13000,4,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
113,52885,4,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1
114,52885,4,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
115,52885,4,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1
116,52885,4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
117,52885,4,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
118,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
119,52885,4,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
120,13000,4,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
121,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
122,52885,4,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
123,52885,4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
124,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
125,52885,4,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
126,13000,4,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
127,4000,4,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
128,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
129,52885,4,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
130,52885,4,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
131,13000,4,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
132,52885,4,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1
133,52885,4,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0
134,52885,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
135,4000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
136,52885,4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
137,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
138,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
139,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
140,13000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
141,52885,4,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
142,52885,4,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
143,52885,4,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
144,4000,4,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
145,52885,4,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1
146,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
147,52885,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
148,13000,4,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
149,13000,4,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
150,52885,4,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
151,52885,4,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
152,13000,4,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
153,13000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
154,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
155,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
156,52885,4,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
157,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
158,13000,4,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
159,4000,4,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
160,52885,4,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
161,52885,4,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
162,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
163,13000,4,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
164,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
165,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
166,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
167,13000,4,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
168,13000,4,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0
169,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
170,13000,4,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
171,13000,4,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0
172,13000,4,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
173,13000,4,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0
174,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
175,4000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
176,52885,4,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1
177,52885,4,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
178,13000,4,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
179,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
180,52885,4,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
181,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
182,52885,4,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
183,13000,4,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0
184,13000,4,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
185,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
186,52885,4,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
187,52885,4,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1
188,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
189,52885,4,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
190,52885,4,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
191,13000,4,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0
192,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
193,13000,4,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
194,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
195,52885,4,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
196,4000,4,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
197,13000,4,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
198,13000,4,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
199,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
200,52885,4,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0
201,52885,4,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
202,13000,4,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0
203,52885,4,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
204,52885,4,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
205,52885,4,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
206,13000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
207,52885,4,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0
208,13000,4,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
209,13000,4,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
210,52885,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
211,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
212,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
213,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
214,52885,4,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
215,13000,4,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
216,13000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
217,13000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
218,13000,4,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
219,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
220,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
221,4000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
222,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
223,52885,4,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
224,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
225,52885,4,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
226,13000,4,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0
227,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
228,52885,4,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
229,52885,4,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
230,52885,4,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
231,52885,4,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0
232,52885,4,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0
233,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
234,4000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
235,52885,4,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1
236,52885,4,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
237,52885,4,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
238,52885,4,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
239,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
240,13000,4,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
241,13000,4,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
242,52885,4,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0
243,13000,4,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
244,13000,4,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
245,52885,4,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
246,13000,4,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
247,52885,4,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
248,52885,4,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
249,13000,4,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0
250,13000,4,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
251,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
252,52885,4,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
253,13000,4,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
254,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
255,13000,4,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
256,13000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
257,13000,4,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
258,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
259,13000,4,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0
260,13000,4,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
261,13000,4,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0
262,52885,4,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
263,52885,4,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
264,13000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
265,13000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
266,4000,4,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
267,52885,4,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
268,4000,4,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
269,4000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
270,52885,4,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
271,52885,4,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1
272,52885,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
273,52885,4,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
274,52885,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
275,52885,4,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1
276,13000,4,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0
277,52885,4,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
278,13000,4,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
279,52885,4,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
280,52885,4,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
281,52885,4,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
282,4000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
283,52885,4,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
284,13000,4,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
285,52885,4,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
286,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
287,52885,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
288,52885,4,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
289,52885,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
290,52885,4,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
291,13000,4,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1
292,13000,4,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1
293,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
294,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
295,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
296,13000,4,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1
297,13000,4,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
298,13000,4,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
299,52885,4,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
300,52885,4,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
301,52885,4,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0
302,13000,4,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
303,13000,4,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
304,52885,4,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
305,4000,4,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
306,52885,4,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
307,13000,4,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
308,52885,4,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
309,13000,4,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0
310,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
311,52885,4,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0
312,13000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
313,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
314,52885,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
315,52885,4,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
316,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
317,52885,4,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
318,13000,4,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
319,52885,4,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
320,52885,4,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
321,13000,4,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
322,52885,4,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
323,52885,4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
324,52885,4,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0
325,52885,4,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
326,52885,4,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
327,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
328,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
329,13000,4,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1
330,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
331,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
332,13000,4,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
333,52885,4,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1
334,13000,4,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
335,13000,4,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
336,13000,4,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0
337,13000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
338,52885,4,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
339,13000,4,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0
340,52885,4,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
341,13000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
342,13000,4,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
343,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
344,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
345,52885,4,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
346,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
347,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
348,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
349,13000,4,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
350,13000,4,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
351,52885,4,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
352,52885,4,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
353,13000,4,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
354,52885,4,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
355,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
356,52885,4,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
357,52885,4,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
358,52885,4,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
359,52885,4,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0
360,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
361,52885,4,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
362,13000,4,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
363,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
364,52885,4,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1
365,13000,4,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
366,52885,4,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
367,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
368,13000,4,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
369,13000,4,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
